Table,PrimaryKey,ForeignKey,Name,Description,Type (value set),Availability,Completeness
ImagingProperty,0,,ParentTagConceptId,,integer (Imaging),TDM,n/a
ImagingProperty,0,,NormalizedValueNumeric,Normalized values of numeric type are persisted in this field.,decimal,TDM,n/a
ImagingProperty,0,,NormalizedValueConceptId,Normalized values mapped to Truveta concepts are persisted in this field,integer,TDM,n/a
ImagingProperty,0,,NormalizedValueDateTime,Normalized values that are DateTime/Timestamp are persisted here,DateTime,TDM,n/a
ImagingSeries,1,,Id,The unique identifier generated by Truveta for this event.,UniqueIdentifier,Prose+TDM,100%
ImagingSeries,0,Person,PersonId,Foreign Key reference to Person used to join across tables.,UniqueIdentifier,TDM,n/a
ImagingSeries,0,,SeriesDateTime,The date time that the series was performed.,DateTime,Prose+TDM,100%
ImagingSeries,0,ImagingStudy,StudyId,System generated key for Image Study.,UniqueIdentifier,Prose+TDM,100%
ImagingSeries,0,,ModalityConceptId,Truveta concept identifier for source system code or description of Modality,integer (Image Modality),Prose+TDM,100%
ImagingSeries,0,,BodyPartExaminedConceptId,Truveta concept identifier for source system code or description of BodyPartExamined,integer (Body Site Examined),Prose+TDM,<1%
ImagingSeries,0,,LateralityConceptId,Truveta concept identifier for laterality of (paired) body part examined.,integer (Laterality),Prose+TDM,<1%
ImagingSeries,0,,SeriesNumber,A number identifier within the series.,integer,TDM,n/a
ImagingSeries,0,,SeriesInstanceUID,The image source unique identifier for the series.,string,TDM,n/a
ImagingStudy,1,,Id,The unique identifier generated by Truveta for this event.,UniqueIdentifier,Prose+TDM,100%
ImagingStudy,0,Person,PersonId,Foreign Key reference to Person used to join across tables.,UniqueIdentifier,TDM,n/a
ImagingStudy,0,Patient,PatientId,Foreign Key reference to Patient used to join across tables.,UniqueIdentifier,TDM,n/a
ImagingStudy,0,Encounter,EncounterId,The id of the Encounter in which this event occurred.,UniqueIdentifier,Prose+TDM,100%
ImagingStudy,0,,StudyDateTime,The date and time that the study was performed.,DateTime,Prose+TDM,100%
ImagingStudy,0,,StudyInstanceUID,The source unique identifier of the study instance.,string,TDM,n/a
ImagingStudy,0,ServiceRequest,ServiceRequestId,The unique identifier of the ServiceRequest or order that initiated this study.,UniqueIdentifier,Prose+TDM,99%
ImagingStudy,0,,SourceProvenanceConceptId,Truveta concept identifier for the element type of the source from which the event originated.,integer (Source Provenance),Prose+TDM,100%
ImagingStudy,0,Note,NoteId,The unique identifier of the note that references this study.,UniqueIdentifier,Prose+TDM,<1%
Immunization,1,,Id,The unique identifier generated by Truveta for this event.,UniqueIdentifier,Prose+TDM,100%
Immunization,0,Person,PersonId,Foreign key reference linking the condition to Person,UniqueIdentifier,TDM,n/a
Immunization,0,Patient,PatientId,Foreign Key reference to Patient used to join across tables,UniqueIdentifier,TDM,n/a
Immunization,0,Encounter,EncounterId,The id of the Encounter in which this event occurred.,UniqueIdentifier,Prose+TDM,52%
Immunization,0,,ManufacturerName,Name of the vaccine manufacturer (if available),string,TDM,n/a
Immunization,0,,LotNumber,The lot number of the manufacturer batch.,string,TDM,n/a
Immunization,0,,RecordedDateTime,The date and time that the event was recorded by the source healthcare system.,DateTime,Prose+TDM,94%
Immunization,0,,AdministeredDateTime,The date and time that the immunization was administered to the patient.,DateTime,Prose+TDM,100%
Immunization,0,,RouteConceptId,"Truveta concept identifier for the route by which the medication is consumed, for example ‘oral route’, or ‘topical route’.",integer (Route),Prose+TDM,77%
Immunization,0,,StatusConceptId,Truveta concept identifier for the state of the administration.,integer (Immunization Status),Prose+TDM,100%
Immunization,0,,SourceProvenanceConceptId,Truveta concept identifier for the element type of the source from which the event originated.,integer (Source Provenance),Prose+TDM,100%
Immunization,0,,DoseUOMConceptId,Truveta concept identifier for dose unit of measure,integer (Unit),Prose+TDM,63%
Immunization,0,ImmunizationCodeConceptMap,CodeConceptMapId,Normalization Id for the encoded concept provided by the source healthcare system linked to a Truveta concept.,long,TDM,n/a
Immunization,0,,CodeConceptId,Normalization Id for the encoded concept provided by the source healthcare system linked to a Truveta concept.,ConceptWithSourceIds[],Prose,100%
Immunization,0,,SourceRecordId,A reference to the source element’s unique id.,UniqueIdentifier,Prose+TDM,5%
ImmunizationCodeConceptMap,1,,Id,"Truveta generated Id for code concept map, primary key to join with Immunization",long,TDM,n/a
ImmunizationCodeConceptMap,0,,CodeConceptId,Truveta code for the Immunization concept,integer,TDM,n/a
ImmunizationCodeConceptMap,0,,SourceConceptId,Concept Id for source of the mapping,integer,TDM,n/a
ImmunizationCodeConceptMapHistory,1,,Id,"Truveta generated Id for code concept map, primary key to join with Immunization",long,TDM,n/a
ImmunizationCodeConceptMapHistory,0,,CodeConceptId,Truveta code for the Immunization concept,integer,TDM,n/a
ImmunizationCodeConceptMapHistory,0,,StartDate,Effective start date of the concept mapping,Date,TDM,n/a
ImmunizationCodeConceptMapHistory,0,,EndDate,Effective end date of the concept mapping,Date,TDM,n/a
ImmunizationCodeConceptMapHistory,0,,SourceConceptId,Concept Id for source of the mapping,integer,TDM,n/a
LabResult,1,,Id,The unique identifier generated by Truveta for this event.,UniqueIdentifier,Prose+TDM,100%
LabResult,0,Person,PersonId,Foreign key reference linking the condition to Person,UniqueIdentifier,TDM,n/a
LabResult,0,Patient,PatientId,Foreign Key reference to Patient used to join across tables.,UniqueIdentifier,TDM,n/a
LabResult,0,Encounter,EncounterId,The id of the Encounter in which this event occurred.,UniqueIdentifier,Prose+TDM,100%
LabResult,0,,EffectiveDateTime,The date and time by which the finding took effect.,DateTime,Prose+TDM,99%
LabResult,0,,RecordedDateTime,The date and time that the event was recorded by the source healthcare system.,DateTime,Prose+TDM,85%
LabResult,0,,NormalizedValueUOMConceptId,Truveta concept identifier for the unit of the value propagated to the range and numeric value.,integer (Unit),Prose+TDM,77%
LabResult,0,,InterpretationConceptId,Truveta concept identifier for the interpreted result of the observed finding.,integer (Observation Interpretation),Prose+TDM,14%
LabResult,0,,StatusConceptId,"Truveta concept identifier for the status of the observed lab result as one that is preliminary, amended, registered, etc.",integer (Observation Status),Prose+TDM,94%
LabResult,0,,NormalizedValueConceptId,Truveta concept identifier for the value of the finding as a coded concept.,integer (Normalized Value),Prose+TDM,9%
LabResult,0,,NormalizedValueNumeric,The value of the finding as a numeric value.,decimal,Prose+TDM,81%
LabResult,0,,NormalizedValueRange,The value of the finding as a range.,Range,Prose+TDM,<1%
LabResult,0,,NormalizedValueQuantity,The value of the finding as a quantity.,Quantity,Prose+TDM,2%
LabResult,0,,NormalizedValueRatio,The value of the finding as a ratio.,Ratio,Prose+TDM,<1%
LabResult,0,,SpecimenCollectionDateTime,The date and time that the specimen was collected,DateTime,Prose+TDM,79%
LabResult,0,ServiceRequest,ServiceRequestId,The id of the ServiceRequest that led to the creation of this LabResult.,UniqueIdentifier,Prose+TDM,<1%
LabResult,0,,LineNumber,The ordered position of the LabResult.,short,TDM,n/a
LabResult,0,,SourceProvenanceConceptId,Truveta concept identifier for the element type of the source from which the event originated.,integer (Source Provenance),Prose+TDM,100%
LabResult,0,,NormalizedValueDateTime,The value of the finding as a date and time.,DateTime,Prose+TDM,<1%
LabResult,0,,SourceRecordId,A reference to the source element's unique id.,UniqueIdentifier,Prose+TDM,2%
LabResult,0,LabResultCodeConceptMap,CodeConceptMapId,Normalization Id for the encoded concept provided by the source healthcare system linked to a Truveta concept.,long,TDM,n/a
LabResult,0,,CodeConceptId,Normalization Id for the encoded concept provided by the source healthcare system linked to a Truveta concept.,ConceptWithSourceIds[],Prose,100%
LabResultCodeConceptMap,1,,Id,"Truveta generated Id for code concept map, primary key to join with LabResult",long,TDM,n/a
LabResultCodeConceptMap,0,,CodeConceptId,Truveta code for the LabResult concept,integer,TDM,n/a
LabResultCodeConceptMap,0,,SourceConceptId,Concept Id for source of the mapping,integer,TDM,n/a
LabResultCodeConceptMapHistory,1,,Id,"Truveta generated Id for code concept map, primary key to join with LabResult",long,TDM,n/a
LabResultCodeConceptMapHistory,0,,CodeConceptId,Truveta code for the LabResult concept,integer,TDM,n/a
LabResultCodeConceptMapHistory,0,,StartDate,Effective start date of the concept mapping,Date,TDM,n/a
LabResultCodeConceptMapHistory,0,,EndDate,Effective end date of the concept mapping,Date,TDM,n/a
LabResultCodeConceptMapHistory,0,,SourceConceptId,Concept Id for source of the mapping,integer,TDM,n/a
Location,1,,Id,The unique identifier generated by Truveta for this event.,UniqueIdentifier,TDM,n/a
Location,0,,TypeConceptId,Truveta concept identifier for a category describing the type of place or position.,integer (Location Type),TDM,n/a
Location,0,,StateOrProvinceConceptId,Name of State or Province for the location,integer (State Or Province),TDM,n/a
Location,0,,PostalOrZipCode,Postal code for the location,string,TDM,n/a
MedicationAdherenceReasonConceptMap,1,,Id,"Truveta generated Id for code concept map, primary key to join with MedicationAdherenceReason",long,TDM,n/a
MedicationAdherenceReasonConceptMap,0,,CodeConceptId,Truveta code for the MedicationAdherenceReason code concept,integer,TDM,n/a
MedicationAdherenceReasonConceptMap,0,,SourceConceptId,Concept Id for source of the mapping,integer,TDM,n/a
MedicationAdherenceReasonConceptMapHistory,1,,Id,"Truveta generated Id for code concept map, primary key to join with MedicationAdherenceReason",long,TDM,n/a
MedicationAdherenceReasonConceptMapHistory,0,,CodeConceptId,Truveta code for the MedicationAdherenceReason code concept,integer,TDM,n/a
MedicationAdherenceReasonConceptMapHistory,0,,StartDate,Effective start date of the concept mapping,Date,TDM,n/a
MedicationAdherenceReasonConceptMapHistory,0,,EndDate,Effective end date of the concept mapping,Date,TDM,n/a
MedicationAdherenceReasonConceptMapHistory,0,,SourceConceptId,Concept Id for source of the mapping,integer,TDM,n/a
MedicationAdministration,1,,Id,The unique identifier generated by Truveta for this event.,UniqueIdentifier,Prose+TDM,100%
MedicationAdministration,0,Person,PersonId,Foreign key reference linking the condition to Person,UniqueIdentifier,TDM,n/a
MedicationAdministration,0,Patient,PatientId,Foreign Key reference to Patient used to join across tables.,UniqueIdentifier,TDM,n/a
MedicationAdministration,0,Encounter,EncounterId,The id of the Encounter in which this event occurred.,UniqueIdentifier,Prose+TDM,97%
MedicationAdministration,0,,StartDateTime,The date and time that the medication was administered.,DateTime,Prose+TDM,100%
MedicationAdministration,0,,StopDateTime,The date and time when the medication stopped being administered.,DateTime,Prose+TDM,50%
MedicationAdministration,0,,ScheduledStartDateTime,The date and time that the administration is scheduled to start.,DateTime,Prose+TDM,91%
MedicationAdministration,0,,RecordedDateTime,The date and time that the event was recorded by the source healthcare system.,DateTime,Prose+TDM,70%
MedicationAdministration,0,,RouteConceptId,"Truveta concept identifier for the route by which the medication is consumed, for example ‘oral route’, or ‘topical route’.",integer (Route),Prose+TDM,58%
MedicationAdministration,0,,Dose,The amount of medication taken by the patient.,string,Prose+TDM,76%
MedicationAdministration,0,,DoseUOMConceptId,Truveta concept identifier for the unit of the amount of medication taken by the patient.,integer (Unit),Prose+TDM,69%
MedicationAdministration,0,,StatusConceptId,Truveta concept identifier for the state of the administration.,integer (Medication Administration Status),Prose+TDM,97%
MedicationAdministration,0,MedicationRequest,RequestId,The id of the MedicationRequest that triggered this administration.,UniqueIdentifier,Prose+TDM,100%
MedicationAdministration,0,,SourceProvenanceConceptId,Truveta concept identifier for the element type of the source from which the event originated.,integer (Source Provenance),Prose+TDM,100%
MedicationAdministration,0,,NormalizedDose,"Dose may contain units, normalized dose just represents the decimal value",decimal,Prose+TDM,71%
MedicationAdministration,0,MedicationCodeConceptMap,CodeConceptMapId,Normalization Id for the medication as an encoded concept provided by the source healthcare system linked to a Truveta concept.,long,TDM,n/a
MedicationAdministration,0,,CodeConceptId,Normalization Id for the medication as an encoded concept provided by the source healthcare system linked to a Truveta concept.,ConceptWithSourceIds[],Prose,100%
MedicationAdministration,0,,SourceRecordId,A reference to the source element's unique id.,UniqueIdentifier,Prose+TDM,<1%
MedicationAdministration,0,,Rate,The dose quantity administered per unit of time.,decimal,TDM,n/a
MedicationAdministration,0,BodySiteMap,BodySiteMapId,Normalization Id for subject's body where the medication was administered.,long,TDM,n/a
MedicationAdministration,0,,RateUOMConceptId,Truveta concept identifier for the unit of the rate of medication administration,integer (Unit),TDM,n/a
MedicationAdministration,0,,NormalizedDoseTiming,Normalized timing struct of the instructed dosage when the medication is administered.,Timing,TDM,n/a
MedicationCodeConceptMap,1,,Id,"Truveta generated Id for code concept map, primary key to join with Medication",long,TDM,n/a
MedicationCodeConceptMap,0,,CodeConceptId,Truveta code for the Medication concept,integer,TDM,n/a
MedicationCodeConceptMap,0,,SourceConceptId,Concept Id for source of the mapping,integer,TDM,n/a
MedicationCodeConceptMapHistory,1,,Id,"Truveta generated Id for code concept map, primary key to join with Medication",long,TDM,n/a
MedicationCodeConceptMapHistory,0,,CodeConceptId,Truveta code for the Medication concept,integer,TDM,n/a
MedicationCodeConceptMapHistory,0,,StartDate,Effective start date of the concept mapping,Date,TDM,n/a
MedicationCodeConceptMapHistory,0,,EndDate,Effective end date of the concept mapping,Date,TDM,n/a
MedicationCodeConceptMapHistory,0,,SourceConceptId,Concept Id for source of the mapping,integer,TDM,n/a
MedicationDispense,1,,Id,The unique identifier generated by Truveta for this event.,UniqueIdentifier,Prose+TDM,100%
MedicationDispense,0,Person,PersonId,Foreign key reference linking the medication dispense event to Person,UniqueIdentifier,TDM,n/a
MedicationDispense,0,Patient,PatientId,Foreign Key reference to Patient used to join across tables.,UniqueIdentifier,TDM,n/a
MedicationDispense,0,,RecordedDateTime,The date and time that the event was recorded by the source healthcare system.,DateTime,Prose+TDM,80%
MedicationDispense,0,,DispenseDateTime,The date and time that the medication was given to the patient or representative.,DateTime,Prose+TDM,100%
MedicationDispense,0,,PreparedDateTime,The date and time when the dispensed product was packaged and reviewed.,DateTime,Prose+TDM,<1%
MedicationDispense,0,,DispenseQuantity,The amount of medication dispensed.,decimal,Prose+TDM,100%
MedicationDispense,0,,DispenseQuantityUOMConceptId,Truveta concept identifier for Unit of Measure dispense quantity.,integer (Unit),Prose+TDM,70%
MedicationDispense,0,,CategoryConceptId,"Truveta concept identifier for the scenario in which the medication was dispensed, such as inpatient, outpatient, community, etc.",integer (Medication Request Category),Prose+TDM,100%
MedicationDispense,0,,StatusConceptId,"Truveta concept identifier for the state of the dispense event, such as 'in progress', 'on hold', 'completed', etc.",integer (Dispense Status),Prose+TDM,<1%
MedicationDispense,0,Practitioner,DispenserPractitionerId,The id of the practitioner who performed the medication dispense.,UniqueIdentifier,TDM,n/a
MedicationDispense,0,,DaysSupply,The number of days of supply that this medication dispensed.,integer,Prose+TDM,99%
MedicationDispense,0,MedicationCodeConceptMap,CodeConceptMapId,Normalization Id for the medication as an encoded concept provided by the source healthcare system linked to a Truveta concept.,long,TDM,n/a
MedicationDispense,0,,CodeConceptId,Normalization Id for the medication as an encoded concept provided by the source healthcare system linked to a Truveta concept.,ConceptWithSourceIds[],Prose,100%
MedicationRequest,1,,Id,The unique identifier generated by Truveta for this event.,UniqueIdentifier,Prose+TDM,100%
MedicationRequest,0,Person,PersonId,Foreign key reference to the person the medication request is associated.,UniqueIdentifier,TDM,n/a
MedicationRequest,0,Patient,PatientId,Foreign Key reference to the patient used to join across tables,UniqueIdentifier,TDM,n/a
MedicationRequest,0,Encounter,EncounterId,The id of the Encounter in which this event occurred.,UniqueIdentifier,Prose+TDM,98%
MedicationRequest,0,,AuthoredOnDateTime,The date and time of when the request was initially created.,DateTime,Prose+TDM,98%
MedicationRequest,0,,StartDateTime,The date and time when the medication is to start being taken.,DateTime,Prose+TDM,88%
MedicationRequest,0,,StopDateTime,The date and time when the medication is to stop being taken.,DateTime,Prose+TDM,62%
MedicationRequest,0,,PriorityConceptId,Truveta concept identifier for the priority of the request.,integer (Medication Request Priority),Prose+TDM,50%
MedicationRequest,0,Practitioner,RequesterPractitionerId,The id of the Practitioner who requested this medication.,UniqueIdentifier,TDM,n/a
MedicationRequest,0,,IntentConceptId,Truveta code signifying the category describing the type of order,integer (Medication Request Intent),Prose+TDM,26%
MedicationRequest,0,,SubstitutionConceptId,Truveta concept identifier for specific instructions for allowing or not allowing the medication to be substituted.,integer (Substitution),Prose+TDM,6%
MedicationRequest,0,,RouteConceptId,Truveta code signifying the medication request route,integer (Route),Prose+TDM,82%
MedicationRequest,0,,MinDose,The lower limit of the amount of medication that the patient is expected to consume.,string,TDM,n/a
MedicationRequest,0,,MaxDose,The upper limit of the amount of medication that the patient is expected to consume.,string,TDM,n/a
MedicationRequest,0,,DoseUOMConceptId,Truveta concept identifier for the unit of the amount of medication to be taken each time.,integer (Unit),Prose+TDM,71%
MedicationRequest,0,,DoseFrequencyConceptId,Truveta code signifying the dose frequency,integer (Dose Frequency),Prose+TDM,3%
MedicationRequest,0,,DoseFrequencyTiming,Timing for dosage instructions,Timing,Prose+TDM,72%
MedicationRequest,0,,StatusConceptId,"Truveta concept identifier for the state of the request, such as 'in progress', 'on hold', 'completed', etc.",integer (Medication Request Status),Prose+TDM,92%
MedicationRequest,0,,CategoryConceptId,Truveta concept identifier for the service setting of the request origination.,integer (Medication Request Category),Prose+TDM,49%
MedicationRequest,0,,DosagePRNConceptId,Truveta concept identifier for whether the medication should be taken as needed.,integer (Yes No Indicator),Prose+TDM,47%
MedicationRequest,0,,NormalizedMinDose,Medication dose or min dosage if range,decimal,Prose+TDM,68%
MedicationRequest,0,,NormalizedMaxDose,Medication max dose if range,decimal,Prose+TDM,3%
MedicationRequest,0,,SourceProvenanceConceptId,Truveta concept identifier for the element type of the source from which the event originated.,integer (Source Provenance),Prose+TDM,100%
MedicationRequest,0,,SourceRecordId,A reference to the source element's unique id.,UniqueIdentifier,Prose+TDM,3%
MedicationRequest,0,MedicationCodeConceptMap,CodeConceptMapId,Normalization Id for the medication as an encoded concept provided by the source healthcare system linked to a Truveta concept.,long,TDM,n/a
MedicationRequest,0,,CodeConceptId,Normalization Id for the medication as an encoded concept provided by the source healthcare system linked to a Truveta concept.,ConceptWithSourceIds[],Prose,100%
MedicationStatement,1,,Id,The unique identifier generated by Truveta for this event.,UniqueIdentifier,Prose+TDM,100%
MedicationStatement,0,Person,PersonId,Foreign key reference to the person the medication is associated,UniqueIdentifier,TDM,n/a
MedicationStatement,0,Patient,PatientId,The id of the Patient for whom this event occurred.,UniqueIdentifier,TDM,n/a
MedicationStatement,0,,AdherenceConceptId,Truveta concept identifier for indicates whether the medication is or is not being consumed or administered.,integer (Medication Adherence),Prose+TDM,99%
MedicationStatement,0,MedicationAdherenceReasonConceptMap,AdherenceReasonConceptMapId,Normalization Id for the reason that the patient is adherent or nonadherent to their medication regimen.,long (Medication Adherence Reason),TDM,n/a
MedicationStatement,0,MedicationCodeConceptMap,CodeConceptMapId,Normalization Id for the medication as an encoded concept provided by the source healthcare system linked to a Truveta concept.,long,TDM,n/a
MedicationStatement,0,,CodeConceptId,Normalization Id for the medication as an encoded concept provided by the source healthcare system linked to a Truveta concept.,ConceptWithSourceIds[],Prose,100%
MedicationStatement,0,,DosagePRNConceptId,Truveta concept identifier for whether the medication stated is taken as needed.,integer (Yes No Indicator),Prose+TDM,15%
MedicationStatement,0,,DoseUOMConceptId,Truveta concept identifier for the unit of the amount of medication stated to be taken each time.,integer (Unit),Prose+TDM,12%
MedicationStatement,0,,EffectiveDateTime,The date and time that the stated use of the medication began to be in effect.,DateTime,Prose+TDM,100%
MedicationStatement,0,,EffectiveEndDateTime,The date and time that the stated use of the medication ended.,DateTime,Prose+TDM,<1%
MedicationStatement,0,Encounter,EncounterId,The id of the Encounter in which this event occurred.,UniqueIdentifier,Prose+TDM,98%
MedicationStatement,0,,NormalizedDoseTiming,Normalized timing struct of the instructed dosage of the medication stated to be taken by the patient.,Timing,Prose+TDM,10%
MedicationStatement,0,,NormalizedMaxDose,Medication max dose if range,decimal,Prose+TDM,<1%
MedicationStatement,0,,NormalizedMinDose,Medication dose or min dosage if range,decimal,Prose+TDM,12%
MedicationStatement,0,,RecordedDateTime,The date and time when the MedicationStatement was asserted by the information source.,DateTime,Prose+TDM,100%
MedicationStatement,0,,RouteConceptId,Truveta concept identifier for the route by which the medication is stated to be consumed.,integer,Prose+TDM,<1%
MedicationStatement,0,,SourceProvenanceConceptId,Truveta concept identifier for the element type of the source from which the event originated.,integer (Source Provenance),Prose+TDM,100%
MedicationStatement,0,,SourceRecordId,A reference to the source element’s unique id.,UniqueIdentifier,Prose+TDM,100%
MedicationStatement,0,,StatusConceptId,"Truveta concept identifier for an indication of adherence, such as whether the medication is being taken as directed.",integer (Medication Statement Status),Prose+TDM,<1%
MedicationStatement,0,,Rate,The dose quantity administered per unit of time.,decimal,TDM,n/a
MedicationStatement,0,BodySiteMap,BodySiteMapId,Normalization Id for subject's body where the medication was administered.,long,TDM,n/a
MedicationStatement,0,,RateUOMConceptId,Truveta concept identifier for the unit of the rate of medication administration,integer (Unit),TDM,n/a
Note,1,,Id,The unique identifier generated by Truveta for this event.,UniqueIdentifier,Prose+TDM,100%
Note,0,Person,PersonId,Foreign key reference linking the condition to Person,UniqueIdentifier,TDM,n/a
Note,0,Patient,PatientId,Foreign Key reference to Patient used to join across tables.,UniqueIdentifier,TDM,n/a
Note,0,Encounter,EncounterId,The id of the Encounter in which this event occurred.,UniqueIdentifier,Prose+TDM,89%
Note,0,ServiceRequest,ServiceRequestId,A reference to the ServiceRequest that instantiated this note.,UniqueIdentifier,Prose+TDM,25%
Note,0,,RecordedDateTime,The date and time that the event was recorded by the source healthcare system.,DateTime,Prose+TDM,99%
Note,0,,EffectiveDateTime,The date and time that the note was created.,DateTime,Prose+TDM,100%
Note,0,,TypeConceptId,"Truveta concept identifier for the category of the note, such as 'Progress Note', or 'Discharge Summary'",integer (Note Type),Prose+TDM,98%
Note,0,,CategoryConceptId,Truveta concept identifier for a categorization of the  note for organizational purposes.,integer (Note Category),Prose+TDM,100%
Note,0,Practitioner,AuthorPractitionerId,The id of the Practitioner who authored the note.,UniqueIdentifier,TDM,n/a
Note,0,,StatusConceptId,"Truveta concept identifier for the status of the note, such as 'preliminary', 'final', amended', etc.",integer (Composition Status),Prose+TDM,84%
Observation,1,,Id,The unique identifier generated by Truveta for this event.,UniqueIdentifier,Prose+TDM,100%
Observation,0,Person,PersonId,Foreign key reference linking the condition to Person,UniqueIdentifier,TDM,n/a
Observation,0,Patient,PatientId,Foreign Key reference to Patient used to join across tables.,UniqueIdentifier,TDM,n/a
Observation,0,Encounter,EncounterId,The id of the Encounter in which this event occurred.,UniqueIdentifier,Prose+TDM,93%
Observation,0,,EffectiveDateTime,The date and time when the observation is found to be true.,DateTime,Prose+TDM,99%
Observation,0,,EffectiveEndDateTime,The date and time when the finding was observed to end.,DateTime,Prose+TDM,<1%
Observation,0,,RecordedDateTime,The date and time that the event was recorded by the source healthcare system.,DateTime,Prose+TDM,95%
Observation,0,,CategoryConceptId,"Truveta concept identifier for the type of observation being made, such as a 'social history', etc.",integer (Observation Category),Prose+TDM,100%
Observation,0,,InterpretationConceptId,Truveta concept identifier for the interpreted result of the observed finding.,integer (Observation Interpretation),Prose+TDM,2%
Observation,0,,StatusConceptId,"Truveta concept identifier for the status of the observation as one that is preliminary, amended, registered, etc.",integer (Observation Status),Prose+TDM,8%
Observation,0,,NormalizedValueUOMConceptId,Truveta concept identifier for the unit of the value propagated to ValueNumeric and ValueRange.,integer (Unit),Prose+TDM,24%
Observation,0,,NormalizedValueConceptId,Truveta concept identifier for normalized values mapped to Truveta concepts are persisted in this field,integer (Normalized Value),Prose+TDM,9%
Observation,0,,NormalizedValueNumeric,The value of the finding as a numeric value.,decimal,Prose+TDM,66%
Observation,0,,NormalizedValueRange,The value of the finding as a range.,Range,Prose+TDM,<1%
Observation,0,,NormalizedValueDateTime,The value of the finding as a date and time.,DateTime,Prose+TDM,<1%
Observation,0,,NormalizedValueQuantity,The value of the finding as a quantity.,Quantity,Prose+TDM,<1%
Observation,0,,NormalizedValueRatio,The value of the finding as a ratio.,Ratio,Prose+TDM,3%
Observation,0,,NormalizedEffectiveTiming,Normalized timing during which the finding took effect.,Timing,Prose+TDM,<1%
Observation,0,,SourceProvenanceConceptId,Truveta concept identifier for the element type of the source from which the event originated.,integer (Source Provenance),Prose+TDM,100%
Observation,0,,BodySiteConceptId,Truveta concept identifier for indicates the site on the subject's body where the observation was made (i.e. the target site).,integer (Body Site),Prose+TDM,<1%
Observation,0,ObservationCodeConceptMap,CodeConceptMapId,Normalization Id for the encoded concept provided by the source healthcare system linked to a Truveta concept.,long,TDM,n/a
Observation,0,,CodeConceptId,Normalization Id for the encoded concept provided by the source healthcare system linked to a Truveta concept.,ConceptWithSourceIds[],Prose,99%
Observation,0,,SourceRecordId,A reference to the source element's unique id.,UniqueIdentifier,Prose+TDM,<1%
Observation,0,BodySiteMap,BodySiteMapId,"Normalization Id for the location of the observation, such as 'left arm', etc.",long,TDM,n/a
Observation,0,,MethodConceptId,Truveta concept identifier for the means or technique used to ascertain the observation.,integer,TDM,n/a
Observation,0,,Component,Component findings that describe attributes about this observation.,ObservationNestedComponent[],Prose,<1%
ObservationCodeConceptMap,1,,Id,"Truveta generated Id for code concept map, primary key to join with Observation",long,TDM,n/a
ObservationCodeConceptMap,0,,CodeConceptId,Truveta code for the Observation concept,integer,TDM,n/a
ObservationCodeConceptMap,0,,SourceConceptId,Concept Id for source of the mapping,integer,TDM,n/a
ObservationCodeConceptMapHistory,1,,Id,"Truveta generated Id for code concept map, primary key to join with Observation",long,TDM,n/a
ObservationCodeConceptMapHistory,0,,CodeConceptId,Truveta code for the Observation concept,integer,TDM,n/a
ObservationCodeConceptMapHistory,0,,StartDate,Effective start date of the concept mapping,Date,TDM,n/a
ObservationCodeConceptMapHistory,0,,EndDate,Effective end date of the concept mapping,Date,TDM,n/a
ObservationCodeConceptMapHistory,0,,SourceConceptId,Concept Id for source of the mapping,integer,TDM,n/a
ObservationComponent,1,,Id,Unique identified auto-generated by Truveta,UniqueIdentifier,TDM,n/a
ObservationComponent,0,Person,PersonId,Foreign key reference linking the condition to Person,UniqueIdentifier,TDM,n/a
ObservationComponent,0,Patient,PatientId,Foreign Key reference to Patient used to join across tables.,UniqueIdentifier,TDM,n/a
ObservationComponent,0,Observation,ObservationId,Observation associated with the component finding,UniqueIdentifier,TDM,n/a
ObservationComponent,0,,ComponentNameConceptId,Concept Id for component name,integer,TDM,n/a
ObservationComponent,0,,NormalizedValueConceptId,Normalization value that is a concept,integer,TDM,n/a
ObservationComponent,0,,NormalizedValueNumeric,Normalization value that is a numeric,decimal,TDM,n/a
ObservationComponent,0,,NormalizedValueQuantity,Normalization value that is quantity,Quantity,TDM,n/a
ObservationComponent,0,,NormalizedValueRange,Normalization value that is a range,Range,TDM,n/a
ObservationComponent,0,,NormalizedValueRatio,Normalization value that is a ratio,Ratio,TDM,n/a
ObservationComponent,0,,NormalizedValueDateTime,Normalization value that is a datetime,DateTime,TDM,n/a
ObservationComponent,0,,NormalizedValueUOMConceptId,Normalization value UOM conceptId,integer,TDM,n/a
Patient,1,,Id,"The unique identifier of the patient, generated by Truveta.",UniqueIdentifier,TDM,n/a
Patient,0,Person,PersonId,Foreign Key reference to Person used to join across tables.,UniqueIdentifier,TDM,n/a
Patient,0,,OrganizationId,The id of the managing Organization that maintains this patient record.,UniqueIdentifier,TDM,n/a
Person,1,,Id,The unique identifier generated by Truveta.,UniqueIdentifier,Prose+TDM,100%
Person,0,,EthnicityConceptId,Truveta concept identifier for the recorded ethnicity of the patient.,integer (Ethnicity),Prose+TDM,73%
Person,0,,MaritalStatusConceptId,Truveta concept identifier for the recorded marital status of the patient.,integer (Marital Status),Prose+TDM,67%
Person,0,,GenderConceptId,"Truveta concept identifier for the recorded sex or gender from documents or attestations to support administrative activities, such as bed assignment. It does not necessarily reflect the gender of the patient in all contexts.",integer (Gender),Prose+TDM,99%
